,VARIETY,...1,Nr.,Abbr..x,Exp..x,Maturity,Mother,Father,COUNTRY.x,Year,Source,heat-sensitivity_combi_HI_starch,Identifier,Sample name,Nr,Stärke % verfügbar,Lfd. #,FAU_Nr,Abbr..y,BREEDER/ Origin,REMARK/ GLKS/ LFL,Maturity/ purpose,parent_genotyped
38,BIE 03- 320,44,19,B03,Exp_01,7,BIE 94- 449,BIE 92- 970,NLD,NA,NA,medium,P1-C03-019-B03,019-B03,19,ja,NA,NA,NA,NA,NA,NA,FALSE
39,BIG ROSSA,45,NA,NA,NA,NA,LAURA,FLORA,BRD,2007,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php?name=BETTINA,NA,P01-H05-342-BIG-2,342-BIG-2,NA,NA,GBS2_40,342,BIG,Bavaria Saat,NA,miittelfrühe Speisesorte,FALSE
40,BIM 11-107-12,46,20,B11,Exp_03,8,IVP4X-121-34,LAURA,NLD,NA,NA,medium,P1-D03-020-B11,020-B11,20,ja,NA,NA,NA,NA,NA,NA,FALSE
41,BINTJE,47,184,BI,Exp_06,5,MUNSTERSEN,JAUNE D'OR,NLD,1910,NA,medium,P2-B11-184-BI,184-BI,184,nein,NA,NA,NA,NA,NA,NA,FALSE
42,BLANCHARD,48,109,BC,Exp_03,5,NA,NA,FRA,1849,NA,tolerant,P2-E02-109-BC,109-BC,109,ja,NA,NA,NA,NA,NA,NA,FALSE
43,BOSS,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-C10-400-BOS-2,400-BOS-2,NA,NA,GBS2_75,400,BOS,Saatzucht Firlbeck,NA,NA,FALSE
44,BRAVO,50,110,BV,Exp_07,4,ZEEUWSE BLAUWE,WILHELM KORN,NLD,1900,NA,medium-sensitiv,P2-F02-110-BV,110-BV,110,nein,NA,NA,NA,NA,NA,NA,FALSE
45,BRICATA KWS,51,21,BT,Exp_01,7,OPAL,VR 808,GER,NA,NA,tolerant,P1-E03-021-BT,021-BT,21,ja,NA,NA,NA,NA,NA,NA,TRUE
46,BRIOSA,52,22,BO,Exp_03,7,RZ- 89-2050,CARRERA,NLD,2015,NA,medium-tolerant,P1-F03-022-BO,022-BO,22,ja,NA,NA,NA,NA,NA,NA,TRUE
47,BÜ12-288,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-E01-225-BUE-2,225-BUE-2,NA,NA,GBS2_05,225,BUE,NA,LSV 211 Weih,Stärke,FALSE
48,CAESAR,54,23,CA,Exp_03,6,MONALISA,ROP B1178,NLD,1990,NA,medium,P1-G03-023-CA,023-CA,23,ja,NA,NA,NA,NA,NA,NA,TRUE
49,CAMEL,55,24,CM,Exp_01,7,ROSARA,RZ- 97-6139,NLD,2013,NA,medium-tolerant,P1-H03-024-CM,024-CM,24,ja,NA,NA,NA,NA,NA,NA,FALSE
